appname,event,timestamp
系统桌面,32,1605060830025
系统桌面,32,1605060830179
系统桌面,32,1605060830217
系统桌面,1,1605060833509
系统 UI,32,1605060833642
系统 UI,32,1605060833676
系统 UI,32,1605060833691
万象息屏,32,1605060834027
Android 系统,32,1605061475292
系统桌面,32,1605061475370
系统桌面,32,1605061475574
系统桌面,32,1605061475631
系统桌面,32,1605061475963
系统桌面,32,1605061476014
系统桌面,32,1605061476037
系统桌面,32,1605061476051
系统桌面,32,1605061476153
系统桌面,1,1605061476951
QQ,32,1605061477006
系统桌面,32,1605061477032
QQ,32,1605061477052
系统桌面,32,1605061477116
QQ,1,1605061479642
系统桌面,32,1605061489428
系统桌面,32,1605061489463
系统 UI,32,1605061492205
系统 UI,32,1605061492234
系统 UI,32,1605061492248
系统 UI,32,1605061492263
万象息屏,32,1605061492583
Android 系统,32,1605061722065
小米画报,32,1605061722253
系统 UI,32,1605061722431
系统 UI,32,1605061724273
系统 UI,32,1605061724292
系统桌面,32,1605061725807
系统桌面,32,1605061725924
系统桌面,32,1605061725963
设置,32,1605061726149
设置,32,1605061726186
系统桌面,32,1605061726222
系统桌面,32,1605061726249
系统桌面,32,1605061727737
系统桌面,32,1605061758170
系统桌面,32,1605061758184
系统桌面,32,1605061759428
系统 UI,32,1605061879454
系统 UI,32,1605061879473
万象息屏,32,1605061879851
Android 系统,32,1605061932053
系统桌面,32,1605061932142
系统桌面,32,1605061932257
系统桌面,32,1605061932354
设置,32,1605064274815
设置,32,1605064275297
设置,32,1605064275326
设置,32,1605064276038
设置,32,1605064276051
用户行为3,32,1605064276906
用户行为3,32,1605064276961
用户行为3,1,1605064278269
系统桌面,32,1605064279049
系统桌面,32,1605064279103
系统桌面,32,1605064279564
系统 UI,32,1605064283779
系统 UI,32,1605064283781
系统 UI,32,1605064283795
系统 UI,32,1605064283809
万象息屏,32,1605064284193
Android 系统,32,1605065544432
系统 UI,32,1605065544462
小米画报,32,1605065544586
系统 UI,32,1605065544842
万象息屏,32,1605065545555
Android 系统,32,1605065546624
系统桌面,32,1605065546720
系统桌面,32,1605065546888
系统桌面,32,1605065546959
系统 UI,32,1605065547216
系统桌面,32,1605065547376
系统 UI,32,1605065548326
系统桌面,32,1605065548371
系统桌面,32,1605065548384
系统 UI,1,1605065549860
手机管家,32,1605065549909
系统桌面,32,1605065549911
手机管家,32,1605065549979
系统 UI,32,1605065550016
系统桌面,32,1605065550038
系统 UI,32,1605065550240
系统 UI,32,1605065550261
微信,32,1605065550982
微信,32,1605065551326
微信,32,1605065551378
微信,1,1605065556261
搜狗输入法小米版,32,1605065556345
微信,1,1605065570842
微信,32,1605065570863
微信,1,1605065572074
微信,1,1605065572579
微信,1,1605065578405
微信,32,1605065589534
微信,32,1605065594237
系统 UI,32,1605065723784
系统 UI,32,1605065723808
系统 UI,32,1605065723826
系统 UI,32,1605065723839
万象息屏,32,1605065724260
Android 系统,32,1605065994886
手机管家,32,1605065995015
系统桌面,32,1605065995265
系统 UI,32,1605065995315
系统 UI,32,1605065995329
系统 UI,32,1605065995370
系统 UI,32,1605065995403
微信,32,1605065995761
微信,32,1605065995825
微信,32,1605065997581
微信,1,1605066003613
搜狗输入法小米版,32,1605066003673
系统 UI,32,1605066080935
设置,32,1605066081820
设置,32,1605066081875
系统桌面,32,1605066083673
系统桌面,32,1605066084224
系统桌面,1,1605066085327
设置,32,1605066085354
系统桌面,32,1605066085471
系统桌面,32,1605066085484
设置,32,1605066085502
设置,1,1605066088492
设置,32,1605066088636
设置,32,1605066089213
设置,1,1605066089629
设置,32,1605066089733
设置,32,1605066092953
设置,32,1605066092966
系统 UI,32,1605066287929
系统 UI,1,1605066290973
系统桌面,32,1605066291971
设置,32,1605066385845
系统 UI,32,1605066507159
系统 UI,32,1605066507197
系统 UI,32,1605066507210
系统 UI,32,1605066507227
万象息屏,32,1605066507467
Android 系统,32,1605066681522
设置,32,1605066681682
系统桌面,32,1605066681866
系统桌面,32,1605066684316
系统桌面,32,1605066684738
系统 UI,32,1605066804337
系统 UI,32,1605066804355
系统 UI,32,1605066804371
系统 UI,32,1605066804385
万象息屏,32,1605066804662
Android 系统,32,1605067023834
系统桌面,32,1605067023919
系统桌面,32,1605067024021
系统桌面,32,1605067024162
手机管家,32,1605067068668
系统桌面,32,1605067068707
手机管家,1,1605067069807
系统桌面,32,1605067069852
AppUsageStatistics,32,1605067070743
系统桌面,32,1605067070849
AppUsageStatistics,32,1605067070854
系统桌面,32,1605067070892
AppUsageStatistics,1,1605067072520
AppUsageStatistics,32,1605067072550
AppUsageStatistics,32,1605067073446
AppUsageStatistics,1,1605067074751
设置,32,1605067075011
设置,1,1605067077915
设置,32,1605067078053
设置,32,1605067079256
设置,32,1605067079284
设置,1,1605067083252
设置,32,1605067083323
手机管家,32,1605067084299
手机管家,1,1605067089493
设置,32,1605067089562
设置,32,1605067090349
设置,32,1605067090372
AppUsageStatistics,32,1605067090813
AppUsageStatistics,32,1605067090838
AppUsageStatistics,1,1605067093090
AppUsageStatistics,32,1605067093126
AppUsageStatistics,32,1605067093904
AppUsageStatistics,1,1605067096954
AppUsageStatistics,32,1605067097002
AppUsageStatistics,32,1605067097675
AppUsageStatistics,1,1605067098727
AppUsageStatistics,32,1605067098760
AppUsageStatistics,32,1605067099577
AppUsageStatistics,1,1605067101698
AppUsageStatistics,32,1605067101726
AppUsageStatistics,32,1605067102558
系统桌面,32,1605067111734
系统桌面,32,1605067284214
系统桌面,32,1605067284276
系统桌面,32,1605067284704
系统桌面,32,1605067284735
系统桌面,32,1605067284754
AppUsageStatistics,32,1605067285345
系统桌面,32,1605067285596
系统桌面,32,1605067285614
AppUsageStatistics,1,1605067287930
AppUsageStatistics,32,1605067287963
AppUsageStatistics,32,1605067289689
系统桌面,32,1605067367696
系统桌面,32,1605067367744
系统桌面,32,1605067368171
系统桌面,32,1605067368192
系统桌面,32,1605067368237
AppUsageStatistics,32,1605067368740
系统桌面,32,1605067369008
系统桌面,32,1605067369022
AppUsageStatistics,1,1605067370265
AppUsageStatistics,32,1605067370299
AppUsageStatistics,32,1605067372540
系统桌面,32,1605067508060
系统桌面,32,1605067508097
AppUsageStatistics,32,1605067508236
Android 系统,32,1605067508386
系统桌面,32,1605067511934
AppUsageStatistics,32,1605067512055
系统 UI,32,1605067636352
系统 UI,32,1605067636382
系统 UI,32,1605067636403
万象息屏,32,1605067636676
Android 系统,32,1605067679139
系统 UI,32,1605067679437
系统桌面,32,1605067680224
系统桌面,32,1605067732300
系统桌面,32,1605067880506
系统桌面,32,1605067889711
系统桌面,32,1605067890168
系统桌面,1,1605067891059
手机管家,32,1605067891077
系统 UI,32,1605067891159
系统 UI,32,1605067891206
系统桌面,32,1605067891221
系统 UI,32,1605067891241
系统桌面,32,1605067891268
微信,32,1605067892603
微信,32,1605067892641
微信,32,1605067892734
微信,1,1605067897714
搜狗输入法小米版,32,1605067897773
微信,1,1605067923146
微信,1,1605067924713
微信,1,1605067927597
系统桌面,32,1605067937156
系统桌面,32,1605067944246
系统桌面,32,1605067944285
系统桌面,32,1605067944873
系统桌面,1,1605067946353
微信,32,1605067946451
微信,32,1605067946506
系统桌面,32,1605067946512
系统桌面,32,1605067946517
微信,32,1605067957698
微信,1,1605067959655
微信,32,1605067960188
微信,1,1605067961009
微信,32,1605067961301
微信,32,1605067961383
微信,1,1605067962036
搜狗输入法小米版,32,1605067962072
系统桌面,32,1605067967068
系统桌面,32,1605067967110
系统桌面,32,1605067967645
系统桌面,1,1605067969217
用户行为3,32,1605067969356
系统桌面,32,1605067969360
系统桌面,32,1605067969360
用户行为3,32,1605067969361
系统桌面,32,1605067969922
系统桌面,32,1605067969961
系统桌面,32,1605067970395
系统桌面,1,1605067972026
AppUsageStatistics,32,1605067972063
系统桌面,32,1605067972088
系统桌面,32,1605067972105
AppUsageStatistics,1,1605067973469
AppUsageStatistics,32,1605067973525
AppUsageStatistics,32,1605067975427
系统 UI,32,1605067981538
系统桌面,32,1605067982312
系统桌面,32,1605067982835
系统桌面,1,1605067983517
微信,32,1605067983601
系统桌面,32,1605067983624
系统桌面,32,1605067983651
微信,32,1605067983685
搜狗输入法小米版,32,1605067984108
系统桌面,32,1605068002509
微信,1,1605068009647
微信,1,1605068010203
微信,32,1605068010370
微信,32,1605068011222
微信,1,1605068012210
微信,32,1605068012259
微信,32,1605068012316
微信,32,1605068012377
微信,32,1605068012405
微信,1,1605068013673
微信,32,1605068013779
微信,32,1605068015768
微信,32,1605068015778
微信,1,1605068016438
搜狗输入法小米版,32,1605068016522
微信,1,1605068027390
微信,1,1605068028307
微信,32,1605068028382
微信,1,1605068051700
系统桌面,32,1605068091448
系统桌面,32,1605068091477
设置,32,1605068091809
设置,32,1605068091829
微信,32,1605068092909
微信,32,1605068092939
系统桌面,32,1605068093670
系统桌面,32,1605068093702
