event,appname,timestamp
32,系统桌面,2020-11-11 09:53:24
1,系统桌面,2020-11-11 09:53:25
32,系统 UI,2020-11-11 09:53:25
32,系统 UI,2020-11-11 09:53:25
32,系统 UI,2020-11-11 09:53:25
32,系统 UI,2020-11-11 09:53:25
32,万象息屏,2020-11-11 09:53:26
32,Android 系统,2020-11-11 10:00:33
32,系统桌面,2020-11-11 10:00:33
32,系统桌面,2020-11-11 10:00:33
32,系统桌面,2020-11-11 10:00:33
32,系统 UI,2020-11-11 10:00:33
32,系统桌面,2020-11-11 10:00:34
1,系统桌面,2020-11-11 10:00:35
32,系统 UI,2020-11-11 10:00:35
32,系统 UI,2020-11-11 10:00:35
32,系统 UI,2020-11-11 10:00:35
32,系统 UI,2020-11-11 10:00:35
32,万象息屏,2020-11-11 10:00:36
32,Android 系统,2020-11-11 10:04:05
32,系统桌面,2020-11-11 10:04:05
32,系统桌面,2020-11-11 10:04:05
32,系统桌面,2020-11-11 10:04:05
1,系统桌面,2020-11-11 10:04:06
32,QQ,2020-11-11 10:04:07
32,系统桌面,2020-11-11 10:04:07
32,系统桌面,2020-11-11 10:04:07
1,QQ,2020-11-11 10:04:09
1,QQ,2020-11-11 10:04:12
32,QQ,2020-11-11 10:04:13
32,QQ,2020-11-11 10:04:14
32,搜狗输入法小米版,2020-11-11 10:04:15
1,QQ,2020-11-11 10:04:20
32,QQ,2020-11-11 10:04:20
1,QQ,2020-11-11 10:04:24
32,QQ,2020-11-11 10:04:24
1,QQ,2020-11-11 10:04:26
1,QQ,2020-11-11 10:04:46
1,QQ,2020-11-11 10:04:48
1,QQ,2020-11-11 10:04:55
32,系统桌面,2020-11-11 10:04:57
32,系统桌面,2020-11-11 10:04:57
32,系统 UI,2020-11-11 10:04:59
32,系统 UI,2020-11-11 10:04:59
32,系统 UI,2020-11-11 10:04:59
32,万象息屏,2020-11-11 10:04:59
32,Android 系统,2020-11-11 10:05:16
32,系统桌面,2020-11-11 10:05:17
32,系统桌面,2020-11-11 10:05:17
32,系统桌面,2020-11-11 10:05:17
1,系统桌面,2020-11-11 10:05:18
32,QQ,2020-11-11 10:05:18
32,QQ,2020-11-11 10:05:18
32,系统桌面,2020-11-11 10:05:18
1,QQ,2020-11-11 10:05:19
1,QQ,2020-11-11 10:05:23
32,QQ,2020-11-11 10:05:24
32,QQ,2020-11-11 10:05:25
32,搜狗输入法小米版,2020-11-11 10:05:27
32,搜狗输入法小米版,2020-11-11 10:05:31
32,系统桌面,2020-11-11 10:05:32
1,QQ,2020-11-11 10:05:49
